utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,smly.started,text_3.started,smly.stopped,text_3.stopped,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,key_resp.keys,key_resp.rt,sadl.started,sadl.stopped,smlyl.started,text_2.started,smlyl.stopped,text_2.stopped,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,text_4.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,50.697574800113216,50.697574800113216,50.697574800113216,50.697574800113216,50.697574800113216,50.697574800113216,50.697574800113216,50.697574800113216,50.697574800113216,q,0.49914309987798333,51.202783200191334,51.202783200191334,51.202783200191334,51.202783200191334,51.606820800108835,51.606820800108835,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,51.606820800108835,51.606820800108835,51.606820800108835,51.606820800108835,51.606820800108835,51.606820800108835,51.606820800108835,51.606820800108835,51.606820800108835,w,0.2771804998628795,51.890184400137514,51.890184400137514,51.890184400137514,51.890184400137514,52.29420810006559,52.29420810006559,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,52.29420810006559,52.29420810006559,52.29420810006559,52.29420810006559,52.29420810006559,52.29420810006559,52.29420810006559,52.29420810006559,52.29420810006559,p,0.2505130998324603,52.556574600050226,52.556574600050226,52.556574600050226,52.556574600050226,52.960968600120395,52.960968600120395,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,52.960968600120395,52.960968600120395,52.960968600120395,52.960968600120395,52.960968600120395,52.960968600120395,52.960968600120395,52.960968600120395,52.960968600120395,w,0.3335525000002235,53.30604670010507,53.30604670010507,53.30604670010507,53.30604670010507,53.710559100145474,53.710559100145474,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,53.710559100145474,53.710559100145474,53.710559100145474,53.710559100145474,53.710559100145474,53.710559100145474,53.710559100145474,53.710559100145474,53.710559100145474,p,0.2833265997469425,54.0014968002215,54.0014968002215,54.0014968002215,54.0014968002215,54.40537380008027,54.40537380008027,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,54.40537380008027,54.40537380008027,54.40537380008027,54.40537380008027,54.40537380008027,54.40537380008027,54.40537380008027,54.40537380008027,54.40537380008027,q,0.18701839982531965,54.59854040015489,54.59854040015489,54.59854040015489,54.59854040015489,55.002739700023085,55.002739700023085,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,55.002739700023085,55.002739700023085,55.002739700023085,55.002739700023085,55.002739700023085,55.002739700023085,55.002739700023085,55.002739700023085,55.002739700023085,p,0.2731073999311775,55.28553650015965,55.28553650015965,55.28553650015965,55.28553650015965,55.69040590012446,55.69040590012446,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,55.69040590012446,55.69040590012446,55.69040590012446,55.69040590012446,55.69040590012446,55.69040590012446,55.69040590012446,55.69040590012446,55.69040590012446,w,0.2514219000004232,55.954754900187254,55.954754900187254,55.954754900187254,55.954754900187254,56.35701180016622,56.35701180016622,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,56.35701180016622,56.35701180016622,56.35701180016622,56.35701180016622,56.35701180016622,56.35701180016622,56.35701180016622,56.35701180016622,56.35701180016622,p,0.18944339989684522,56.55667080008425,56.55667080008425,56.55667080008425,56.55667080008425,56.96097080013715,56.96097080013715,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,56.96097080013715,56.96097080013715,56.96097080013715,56.96097080013715,56.96097080013715,56.96097080013715,56.96097080013715,56.96097080013715,56.96097080013715,q,0.12089219968765974,57.0908531001769,57.0908531001769,57.0908531001769,57.0908531001769,57.49545030016452,57.49545030016452,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,57.49545030016452,57.49545030016452,57.49545030016452,57.49545030016452,57.49545030016452,57.49545030016452,57.49545030016452,57.49545030016452,57.49545030016452,o,0.08520009974017739,57.59319050004706,57.59319050004706,57.59319050004706,57.59319050004706,57.9957893001847,57.9957893001847,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
