utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,sad1.started,text_3.started,sad1.stopped,text_3.stopped,text_8.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,key_resp.keys,clk.started,sad.started,sad.stopped,text_2.started,clk.stopped,text_2.stopped,key_resp.rt,text_9.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_4.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
47,0,47,0,,,,,,,,,,,,,,,,,45.36276039999211,45.36276039999211,45.36276039999211,45.36276039999211,45.36276039999211,q,0.2622198000026401,45.64380789999268,45.64380789999268,46.045717600005446,46.045717600005446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
48,0,48,0,,,,,,,,,,,,,,,,,46.045717600005446,46.045717600005446,46.045717600005446,46.045717600005446,46.045717600005446,q,0.0466203999822028,46.11032730000443,46.11032730000443,46.51212880000821,46.51212880000821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
49,0,49,0,,,,,,,,,,,,,,,,,46.51212880000821,46.51212880000821,46.51212880000821,46.51212880000821,46.51212880000821,q,0.03313739999430254,46.56002410000656,46.56002410000656,46.96230290000676,46.96230290000676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
50,0,50,0,,,,,,,,,,,,,,,,,46.96230290000676,46.96230290000676,46.96230290000676,46.96230290000676,46.96230290000676,q,0.04042229999322444,47.026421999995364,47.026421999995364,47.42836130000069,47.42836130000069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
51,0,51,0,,,,,,,,,,,,,,,,,47.42836130000069,47.42836130000069,47.42836130000069,47.42836130000069,47.42836130000069,q,0.040355199977057055,47.49299520000932,47.49299520000932,47.89516580000054,47.89516580000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
52,0,52,0,,,,,,,,,,,,,,,,,47.89516580000054,47.89516580000054,47.89516580000054,47.89516580000054,47.89516580000054,q,0.030924999999115244,47.94252479998977,47.94252479998977,48.34481899999082,48.34481899999082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
53,0,53,0,,,,,,,,,,,,,,,,,48.34481899999082,48.34481899999082,48.34481899999082,48.34481899999082,48.34481899999082,q,0.06531110001378693,48.43212729998049,48.43212729998049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
54,0,54,0,,,,,,,,,,,,,,,,,48.84442029998172,48.84442029998172,48.84442029998172,48.84442029998172,48.84442029998172,q,0.03837500000372529,48.91041479998967,48.91041479998967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
55,0,55,0,,,,,,,,,,,,,,,,,49.32727949999389,49.32727949999389,49.32727949999389,49.32727949999389,49.32727949999389,q,0.05152300000190735,49.40887799998745,49.40887799998745,49.810603599995375,49.810603599995375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
56,0,56,0,,,,,,,,,,,,,,,,,49.810603599995375,49.810603599995375,49.810603599995375,49.810603599995375,49.810603599995375,q,0.05398060000152327,49.891769299982116,49.891769299982116,50.293551799986744,50.293551799986744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
57,0,57,0,,,,,,,,,,,,,,,,,50.293551799986744,50.293551799986744,50.293551799986744,50.293551799986744,50.293551799986744,q,0.053879199986113235,50.37470739998389,50.37470739998389,50.77686579999863,50.77686579999863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
58,0,58,0,,,,,,,,,,,,,,,,,50.77686579999863,50.77686579999863,50.77686579999863,50.77686579999863,50.77686579999863,q,0.015842199994949624,50.80942909998703,50.80942909998703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
59,0,59,0,,,,,,,,,,,,,,,,,51.22649609998916,51.22649609998916,51.22649609998916,51.22649609998916,51.22649609998916,q,0.05142020000494085,51.307945699983975,51.307945699983975,51.70951739998418,51.70951739998418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
60,0,60,0,,,,,,,,,,,,,,,,,51.70951739998418,51.70951739998418,51.70951739998418,51.70951739998418,51.70951739998418,q,0.08114100000238977,51.807352400006494,51.807352400006494,52.209320199996,52.209320199996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
61,0,61,0,,,,,,,,,,,,,,,,,52.209320199996,52.209320199996,52.209320199996,52.209320199996,52.209320199996,q,0.08537310000974685,52.32758539999486,52.32758539999486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
62,0,62,0,,,,,,,,,,,,,,,,,52.742420599999605,52.742420599999605,52.742420599999605,52.742420599999605,52.742420599999605,q,0.046342499990714714,52.8068326000066,52.8068326000066,53.209123200009344,53.209123200009344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
63,0,63,0,,,,,,,,,,,,,,,,,53.209123200009344,53.209123200009344,53.209123200009344,53.209123200009344,53.209123200009344,q,0.08343040000181645,53.32350800000131,53.32350800000131,53.72522989998106,53.72522989998106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
64,0,64,0,,,,,,,,,,,,,,,,,53.72522989998106,53.72522989998106,53.72522989998106,53.72522989998106,53.72522989998106,q,0.053256999992299825,53.80636950000189,53.80636950000189,54.2082306999946,54.2082306999946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
65,0,65,0,,,,,,,,,,,,,,,,,54.2082306999946,54.2082306999946,54.2082306999946,54.2082306999946,54.2082306999946,q,0.03529669999261387,54.273007999989204,54.273007999989204,54.67472260000068,54.67472260000068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
