utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,sad1.started,text_3.started,sad1.stopped,text_3.stopped,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,key_resp.keys,clk.started,sad.started,sad.stopped,text_2.started,clk.stopped,text_2.stopped,key_resp.rt,text_4.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
35,0,35,0,,,,,,,,,,,,,,,,,44.964643500046805,44.964643500046805,44.964643500046805,44.964643500046805,44.964643500046805,p,0.11234130011871457,45.09016830008477,45.09016830008477,45.49182110000402,45.49182110000402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
36,0,36,0,,,,,,,,,,,,,,,,,45.49182110000402,45.49182110000402,45.49182110000402,45.49182110000402,45.49182110000402,q,0.15989340003579855,45.6578351999633,45.6578351999633,46.06115349987522,46.06115349987522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
37,0,37,0,,,,,,,,,,,,,,,,,46.06115349987522,46.06115349987522,46.06115349987522,46.06115349987522,46.06115349987522,p,0.11594590009190142,46.18693249998614,46.18693249998614,46.58899289998226,46.58899289998226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
38,0,38,0,,,,,,,,,,,,,,,,,46.58899289998226,46.58899289998226,46.58899289998226,46.58899289998226,46.58899289998226,p,0.1715663003269583,46.7684547000099,46.7684547000099,47.17243380006403,47.17243380006403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
39,0,39,0,,,,,,,,,,,,,,,,,47.17243380006403,47.17243380006403,47.17243380006403,47.17243380006403,47.17243380006403,p,0.0956570003181696,47.276143399998546,47.276143399998546,47.677754499949515,47.677754499949515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.677754499949515,47.677754499949515,space,5.721958100097254,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,53.409312800038606,53.409312800038606,53.409312800038606,53.409312800038606,53.409312800038606,53.409312800038606,53.409312800038606,53.409312800038606,53.409312800038606,54.40652669989504,54.40652669989504,54.40652669989504,54.40652669989504,54.40652669989504,54.40652669989504,54.40652669989504,54.40652669989504,54.40652669989504,None,54.40652669989504,54.40652669989504,54.40652669989504,54.40652669989504,54.81165959988721,54.81165959988721,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,54.81165959988721,54.81165959988721,54.81165959988721,54.81165959988721,54.81165959988721,54.81165959988721,54.81165959988721,54.81165959988721,54.81165959988721,,,,,,,,,,q,55.17188660008833,55.17188660008833,55.57536859996617,55.17188660008833,55.17188660008833,55.57536859996617,0.35354610020294785,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,55.57536859996617,55.57536859996617,55.57536859996617,55.57536859996617,55.57536859996617,55.57536859996617,55.57536859996617,55.57536859996617,55.57536859996617,,,,,,,,,,p,55.848353300010785,55.848353300010785,56.25570739991963,55.848353300010785,55.848353300010785,56.25570739991963,0.2614246001467109,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,56.25570739991963,56.25570739991963,56.25570739991963,56.25570739991963,56.25570739991963,56.25570739991963,56.25570739991963,56.25570739991963,56.25570739991963,57.25370449991897,57.25370449991897,57.25370449991897,57.25370449991897,57.25370449991897,57.25370449991897,57.25370449991897,57.25370449991897,57.25370449991897,None,57.25370449991897,57.25370449991897,57.25370449991897,57.25370449991897,57.65819390001707,57.65819390001707,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,57.65819390001707,57.65819390001707,57.65819390001707,57.65819390001707,57.65819390001707,57.65819390001707,57.65819390001707,57.65819390001707,57.65819390001707,,,,,,,,,,p,57.88625289988704,57.88625289988704,58.29033019999042,57.88625289988704,57.88625289988704,58.29033019999042,0.2169229001738131,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,58.29033019999042,58.29033019999042,58.29033019999042,58.29033019999042,58.29033019999042,58.29033019999042,58.29033019999042,58.29033019999042,58.29033019999042,,,,,,,,,,p,58.36579989991151,58.36579989991151,58.76951609994285,58.36579989991151,58.36579989991151,58.76951609994285,0.0639589000493288,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,58.76951609994285,58.76951609994285,58.76951609994285,58.76951609994285,58.76951609994285,58.76951609994285,58.76951609994285,58.76951609994285,58.76951609994285,,,,,,,,,,q,59.00338450004347,59.00338450004347,59.408454899908975,59.00338450004347,59.00338450004347,59.408454899908975,0.20660410006530583,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,59.408454899908975,59.408454899908975,59.408454899908975,59.408454899908975,59.408454899908975,59.408454899908975,59.408454899908975,59.408454899908975,59.408454899908975,,,,,,,,,,p,59.636960400035605,59.636960400035605,60.04049360007048,59.636960400035605,59.636960400035605,60.04049360007048,0.2216454001609236,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,60.04049360007048,60.04049360007048,60.04049360007048,60.04049360007048,60.04049360007048,60.04049360007048,60.04049360007048,60.04049360007048,60.04049360007048,,,,,,,,,,q,60.27624060004018,60.27624060004018,60.679703099885955,60.27624060004018,60.27624060004018,60.679703099885955,0.22911080019548535,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,60.679703099885955,60.679703099885955,60.679703099885955,60.679703099885955,60.679703099885955,60.679703099885955,60.679703099885955,60.679703099885955,60.679703099885955,,,,,,,,,,p,60.92805109987967,60.92805109987967,61.33213909994811,60.92805109987967,60.92805109987967,61.33213909994811,0.2390035002026707,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,61.33213909994811,61.33213909994811,61.33213909994811,61.33213909994811,61.33213909994811,61.33213909994811,61.33213909994811,61.33213909994811,61.33213909994811,,,,,,,,,,q,61.5120894999709,61.5120894999709,61.915613800054416,61.5120894999709,61.5120894999709,61.915613800054416,0.17348400014452636,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,61.915613800054416,61.915613800054416,61.915613800054416,61.915613800054416,61.915613800054416,61.915613800054416,61.915613800054416,61.915613800054416,61.915613800054416,,,,,,,,,,p,62.087527700001374,62.087527700001374,62.49201190005988,62.087527700001374,62.087527700001374,62.49201190005988,0.161327000008896,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,62.49201190005988,62.49201190005988,62.49201190005988,62.49201190005988,62.49201190005988,62.49201190005988,62.49201190005988,62.49201190005988,62.49201190005988,,,,,,,,,,w,63.067567500052974,63.067567500052974,63.471121799899265,63.067567500052974,63.067567500052974,63.471121799899265,0.5673154999967664,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
,,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,63.471121799899265,63.471121799899265,63.471121799899265,63.471121799899265,63.471121799899265,63.471121799899265,63.471121799899265,63.471121799899265,63.471121799899265,,,,,,,,,,o,63.691629299893975,63.691629299893975,64.09606519993395,63.691629299893975,63.691629299893975,64.09606519993395,0.21496100001968443,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
,,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,64.09606519993395,64.09606519993395,64.09606519993395,64.09606519993395,64.09606519993395,64.09606519993395,64.09606519993395,64.09606519993395,64.09606519993395,,,,,,,,,,q,64.31112379999831,64.31112379999831,64.71442289999686,64.31112379999831,64.31112379999831,64.71442289999686,0.20613650023005903,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
,,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,64.71442289999686,64.71442289999686,64.71442289999686,64.71442289999686,64.71442289999686,64.71442289999686,64.71442289999686,64.71442289999686,64.71442289999686,,,,,,,,,,p,64.87130940007046,64.87130940007046,65.27652719989419,64.87130940007046,64.87130940007046,65.27652719989419,0.14687110017985106,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
,,,,,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,65.27652719989419,65.27652719989419,65.27652719989419,65.27652719989419,65.27652719989419,65.27652719989419,65.27652719989419,65.27652719989419,65.27652719989419,,,,,,,,,,w,65.47779450006783,65.47779450006783,65.88091659988277,65.47779450006783,65.47779450006783,65.88091659988277,0.19303420023061335,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
,,,,,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,65.88091659988277,65.88091659988277,65.88091659988277,65.88091659988277,65.88091659988277,65.88091659988277,65.88091659988277,65.88091659988277,65.88091659988277,,,,,,,,,,p,66.11553319985978,66.11553319985978,66.52015120000578,66.11553319985978,66.11553319985978,66.52015120000578,0.22892339993268251,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
