utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,sad1.started,text_3.started,sad1.stopped,text_3.stopped,text_8.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,key_resp.keys,key_resp.rt,clk.started,clk.stopped,sad.started,text_2.started,sad.stopped,text_2.stopped,text_9.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,text_4.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.51059600012377,239.51059600012377,239.51059600012377,239.51059600012377,239.51059600012377,239.51059600012377,239.51059600012377,239.51059600012377,239.51059600012377,o,0.4370979000814259,239.95754269999452,239.95754269999452,239.95754269999452,239.95754269999452,240.36527800001204,240.36527800001204,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.36527800001204,240.36527800001204,240.36527800001204,240.36527800001204,240.36527800001204,240.36527800001204,240.36527800001204,240.36527800001204,240.36527800001204,q,0.11860930011607707,240.4971362000797,240.4971362000797,240.4971362000797,240.4971362000797,240.89959170017391,240.89959170017391,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.89959170017391,240.89959170017391,240.89959170017391,240.89959170017391,240.89959170017391,240.89959170017391,240.89959170017391,240.89959170017391,240.89959170017391,p,0.024873799877241254,240.9348750000354,240.9348750000354,240.9348750000354,240.9348750000354,241.34357370017096,241.34357370017096,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.34357370017096,241.34357370017096,241.34357370017096,241.34357370017096,241.34357370017096,241.34357370017096,241.34357370017096,241.34357370017096,241.34357370017096,o,0.3621696000918746,241.72036570007913,241.72036570007913,241.72036570007913,241.72036570007913,242.1279575000517,242.1279575000517,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.1279575000517,242.1279575000517,242.1279575000517,242.1279575000517,242.1279575000517,242.1279575000517,242.1279575000517,242.1279575000517,242.1279575000517,q,0.0857118999119848,242.2228227001615,242.2228227001615,242.2228227001615,242.2228227001615,242.62852680007927,242.62852680007927,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.62852680007927,242.62852680007927,242.62852680007927,242.62852680007927,242.62852680007927,242.62852680007927,242.62852680007927,242.62852680007927,242.62852680007927,w,0.4017411998938769,243.04042090009898,243.04042090009898,243.04042090009898,243.04042090009898,243.4474548001308,243.4474548001308,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,67,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.4474548001308,243.4474548001308,243.4474548001308,243.4474548001308,243.4474548001308,243.4474548001308,243.4474548001308,243.4474548001308,243.4474548001308,o,0.03775029978714883,243.49743950017728,243.49743950017728,243.49743950017728,243.49743950017728,243.9007252000738,243.9007252000738,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,68,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.9007252000738,243.9007252000738,243.9007252000738,243.9007252000738,243.9007252000738,243.9007252000738,243.9007252000738,243.9007252000738,243.9007252000738,q,0.04010129999369383,243.9496586001478,243.9496586001478,243.9496586001478,243.9496586001478,244.3569115002174,244.3569115002174,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,69,0,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.3569115002174,244.3569115002174,244.3569115002174,244.3569115002174,244.3569115002174,244.3569115002174,244.3569115002174,244.3569115002174,244.3569115002174,w,0.359290299937129,244.7262722000014,244.7262722000014,244.7262722000014,244.7262722000014,245.12830400001258,245.12830400001258,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,70,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.12830400001258,245.12830400001258,245.12830400001258,245.12830400001258,245.12830400001258,245.12830400001258,245.12830400001258,245.12830400001258,245.12830400001258,o,0.028896400006487966,245.17065730015747,245.17065730015747,245.17065730015747,245.17065730015747,245.57240619999357,245.57240619999357,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,71,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.57240619999357,245.57240619999357,245.57240619999357,245.57240619999357,245.57240619999357,245.57240619999357,245.57240619999357,245.57240619999357,245.57240619999357,p,0.3489961000159383,245.93441270012408,245.93441270012408,245.93441270012408,245.93441270012408,246.33768230001442,246.33768230001442,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,72,0,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.33768230001442,246.33768230001442,246.33768230001442,246.33768230001442,246.33768230001442,246.33768230001442,246.33768230001442,246.33768230001442,246.33768230001442,w,0.05027629993855953,246.40197530016303,246.40197530016303,246.40197530016303,246.40197530016303,246.8083193001803,246.8083193001803,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,73,0,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.8083193001803,246.8083193001803,246.8083193001803,246.8083193001803,246.8083193001803,246.8083193001803,246.8083193001803,246.8083193001803,246.8083193001803,o,0.13545479997992516,246.95663800020702,246.95663800020702,246.95663800020702,246.95663800020702,247.36491740006022,247.36491740006022,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
