Roll Number, Payoff Condition, Trial Number, Total Penalty, Rep Choices ,
006, IOWA, 8, 561.6445754150544, 4, 
006, IOWA, 10, 651.6057082045609, 5, 
006, IOWA, 12, 750.0883703691479, 7, 
006, IOWA, 14, 833.3634004406695, 8, 
006, IOWA, 16, 948.7108436441217, 10, 
006, IOWA, 18, 1041.292193003296, 11, 
006, IOWA, 20, 1132.9810806705614, 13, 
006, High Var, 0, 54.72460971686383, 0, 
006, High Var, 2, 148.72017416780884, 2, 
006, High Var, 4, 227.56560126542223, 4, 
006, High Var, 6, 311.9087749160761, 6, 
006, High Var, 8, 412.1961694725997, 8, 
006, High Var, 10, 512.1139695170699, 10, 
006, High Var, 12, 604.6934706576515, 12, 
006, High Var, 14, 702.4633767005887, 14, 
006, High Var, 16, 773.3737292909587, 16, 
006, High Var, 18, 850.5421536261965, 18, 
006, High Var, 20, 955.1624641533049, 20, 
006, Low Var, 0, 68.10009722687589, 0, 
006, Low Var, 2, 180.57451662356166, 1, 
006, Low Var, 4, 298.3762565343509, 3, 
006, Low Var, 6, 415.310408750453, 4, 
006, Low Var, 8, 514.7512795152852, 4, 
006, Low Var, 10, 603.5537410487793, 6, 
006, Low Var, 12, 691.0768075968359, 8, 
006, Low Var, 14, 781.0525719913918, 10, 
006, Low Var, 16, 869.1967691125591, 12, 
006, Low Var, 18, 960.421705643849, 14, 
006, Low Var, 20, 1055.5292468979137, 16, 
006, Low Var, 0, 66.3509801785262, 0, 
006, Low Var, 2, 171.4586244201239, 1, 
006, Low Var, 4, 279.036467047316, 3, 
006, Low Var, 6, 390.8489056905233, 5, 
006, Low Var, 8, 519.1665215754144, 6, 
006, Low Var, 10, 629.5420099363942, 7, 
006, Low Var, 12, 725.3952032416229, 9, 
006, Low Var, 14, 811.8988159534471, 11, 
006, Low Var, 16, 902.8622483116906, 13, 
006, Low Var, 18, 994.9987960308164, 15, 
006, Low Var, 20, 1086.9218202175387, 17, 
006, Equal Means, 0, 64.07361313009108, 0, 
006, Equal Means, 2, 188.5324325439992, 1, 
006, Equal Means, 4, 302.2452789286077, 2, 
006, Equal Means, 6, 410.33137518765267, 4, 
006, Equal Means, 8, 543.8523413990267, 5, 
006, Equal Means, 10, 653.2964440913387, 7, 
006, Equal Means, 12, 768.0569381029268, 9, 
006, Equal Means, 14, 887.812340759716, 11, 
006, Equal Means, 16, 988.5313705767282, 12, 
006, Equal Means, 18, 1094.3213164446163, 14, 
006, Equal Means, 20, 1210.0323329754272, 16, 
006, Low Var, 0, 59.96042843151573, 0, 
006, Low Var, 2, 178.03004633617576, 0, 
006, Low Var, 4, 288.7110650775237, 2, 
006, Low Var, 6, 392.6761617687518, 4, 
006, Low Var, 8, 503.7759519233174, 5, 
006, Low Var, 10, 588.9382940434078, 7, 
006, Low Var, 12, 675.4135632884488, 9, 
006, Low Var, 14, 773.388731425524, 11, 
006, Low Var, 16, 861.3705064593446, 13, 
006, Low Var, 18, 958.3058602232076, 15, 
006, Low Var, 20, 1045.3486972478534, 17, 
006, High Var, 0, 55.56680615673821, 0, 
006, High Var, 2, 149.04856179486157, 2, 
006, High Var, 4, 217.57066520209895, 4, 
006, High Var, 6, 305.53142003781926, 6, 
006, High Var, 8, 418.1196332605879, 8, 
006, High Var, 10, 489.685819489143, 10, 
