Roll Number, Payoff Condition, Trial Number, Total Penalty, Rep Choices
1, IOWA,0,30,0
1, IOWA,2,139,0
1, IOWA,4,194,0
1, IOWA,6,239,1
1, IOWA,8,292,3
1, IOWA,10,369,5
1, IOWA,12,426,6
1, IOWA,14,471,7
1, IOWA,16,538,9
1, IOWA,18,603,11
1, IOWA,20,670,12
1, IOWA,0,18,0
1, IOWA,2,73,0
1, IOWA,4,150,0
1, IOWA,6,225,0
1, IOWA,8,274,2
1, IOWA,10,324,4
1, IOWA,12,378,6
1, IOWA,14,444,6
1, IOWA,16,523,6
1, IOWA,18,577,8
1, IOWA,20,651,9
1, Low Var,0,35,0
1, Low Var,2,90,1
1, Low Var,4,158,2
1, Low Var,6,225,2
1, Low Var,8,310,2
1, Low Var,10,386,2
1, Low Var,12,452,2
1, Low Var,14,500,4
1, Low Var,16,557,6
1, Low Var,18,613,8
1, Low Var,20,680,9
1, High Var,0,39,0
1, High Var,2,130,1
1, High Var,4,202,2
1, High Var,6,304,3
1, High Var,8,380,4
1, High Var,10,434,6
1, High Var,12,504,8
1, High Var,14,582,9
1, High Var,16,639,10
1, High Var,18,727,10
1, High Var,20,795,10
1, IOWA,0,28,0
1, IOWA,2,88,2
1, IOWA,4,164,2
1, IOWA,6,224,4
1, IOWA,8,302,4
1, IOWA,10,356,6
1, IOWA,12,430,6
1, IOWA,14,493,8
1, IOWA,16,573,8
1, IOWA,18,626,10
1, IOWA,20,696,10
1, Low Var,0,30,0
1, Low Var,2,78,2
1, Low Var,4,137,4
1, Low Var,6,192,6
1, Low Var,8,250,8
1, Low Var,10,336,8
1, Low Var,12,411,8
1, Low Var,14,458,10
1, Low Var,16,510,12
1, Low Var,18,569,14
1, Low Var,20,642,15
1, Equal Means,0,26,0
1, Equal Means,2,119,0
1, Equal Means,4,197,1
1, Equal Means,6,276,1
1, Equal Means,8,352,2
1, Equal Means,10,431,4
1, Equal Means,12,502,4
1, Equal Means,14,575,4
1, Equal Means,16,646,5
1, Equal Means,18,733,6
1, Equal Means,20,811,7
1, Equal Means,0,47,0
1, Equal Means,2,125,1
1, Equal Means,4,196,3
1, Equal Means,6,274,4
1, Equal Means,8,325,6
1, Equal Means,10,391,8
1, Equal Means,12,482,9
1, Equal Means,14,541,11
1, Equal Means,16,616,11
1, Equal Means,18,698,11
1, Equal Means,20,773,13
1, IOWA,0,44,0
1, IOWA,2,104,0
1, IOWA,4,158,2
1, IOWA,6,226,4
1, IOWA,8,282,6
1, IOWA,10,333,8
1, IOWA,12,374,10
1, IOWA,14,467,12
1, IOWA,16,521,14
1, IOWA,18,584,16
1, IOWA,20,657,18
1, High Var,0,26,0
1, High Var,2,76,2
1, High Var,4,136,4
1, High Var,6,188,6
1, High Var,8,260,8
1, High Var,10,307,10
1, High Var,12,357,12
1, High Var,14,436,14
1, High Var,16,508,16
1, High Var,18,554,18
1, High Var,20,614,20
1, High Var,0,55,0
1, High Var,2,128,2
1, High Var,4,175,4
1, High Var,6,269,6
1, High Var,8,347,7
1, High Var,10,454,9
1, High Var,12,538,10
1, High Var,14,607,11
1, High Var,16,700,12
1, High Var,18,782,13
1, High Var,20,845,15
1, Low Var,0,41,0
1, Low Var,2,122,2
1, Low Var,4,200,3
1, Low Var,6,271,5
1, Low Var,8,351,6
2, IOWA,0,57,0
2, IOWA,2,131,0
2, IOWA,4,185,1
2, IOWA,6,234,1
2, IOWA,8,279,3
2, IOWA,10,341,4
2, IOWA,12,408,4
2, IOWA,14,486,4
2, IOWA,16,515,5
2, IOWA,18,555,7
2, IOWA,20,625,7
2, IOWA,0,61,0
2, IOWA,2,120,0
2, IOWA,4,163,1
2, IOWA,6,212,3
2, IOWA,8,257,5
2, IOWA,10,287,6
2, IOWA,12,329,8
2, IOWA,14,375,9
2, IOWA,16,415,9
2, IOWA,18,482,9
2, IOWA,20,548,9
2, High Var,0,29,0
2, High Var,2,87,1
2, High Var,4,126,3
2, High Var,6,198,4
2, High Var,8,242,5
2, High Var,10,294,7
2, High Var,12,353,9
2, High Var,14,442,10
2, High Var,16,503,10
2, High Var,18,574,11
2, High Var,20,623,12
2, Low Var,0,20,0
2, Low Var,2,108,1
2, Low Var,4,158,2
2, Low Var,6,204,4
2, Low Var,8,271,5
2, Low Var,10,331,6
2, Low Var,12,394,6
2, Low Var,14,468,7
2, Low Var,16,533,8
2, Low Var,18,601,8
2, Low Var,20,667,9
2, Equal Means,0,34,0
2, Equal Means,2,103,1
2, Equal Means,4,161,2
2, Equal Means,6,217,2
2, Equal Means,8,284,2
2, Equal Means,10,357,2
2, Equal Means,12,435,2
2, Equal Means,14,506,2
2, Equal Means,16,572,4
2, Equal Means,18,625,6
2, Equal Means,20,700,6
2, IOWA,0,41,0
2, IOWA,2,103,2
2, IOWA,4,208,3
2, IOWA,6,252,4
2, IOWA,8,298,6
2, IOWA,10,346,8
2, IOWA,12,395,10
2, IOWA,14,432,10
2, IOWA,16,489,10
2, IOWA,18,539,12
2, IOWA,20,579,13
2, Low Var,0,39,0
2, Low Var,2,105,1
2, Low Var,4,188,2
2, Low Var,6,245,2
2, Low Var,8,296,3
2, Low Var,10,343,5
2, Low Var,12,414,5
2, Low Var,14,469,5
2, Low Var,16,539,5
2, Low Var,18,605,6
2, Low Var,20,656,6
2, Equal Means,0,26,0
2, Equal Means,2,84,2
2, Equal Means,4,155,4
2, Equal Means,6,209,6
2, Equal Means,8,262,8
2, Equal Means,10,323,9
2, Equal Means,12,391,11
2, Equal Means,14,449,12
2, Equal Means,16,513,13
2, Equal Means,18,583,15
2, Equal Means,20,654,16
2, High Var,0,9,0
2, High Var,2,63,0
2, High Var,4,128,2
2, High Var,6,222,3
2, High Var,8,277,3
2, High Var,10,366,4
2, High Var,12,426,5
2, High Var,14,473,7
2, High Var,16,529,8
2, High Var,18,606,8
2, High Var,20,637,8
2, High Var,0,23,0
2, High Var,2,78,0
2, High Var,4,118,0
2, High Var,6,195,1
2, High Var,8,256,2
2, High Var,10,289,4
2, High Var,12,368,6
2, High Var,14,410,7
2, High Var,16,468,8
2, High Var,18,550,9
2, High Var,20,605,11
2, IOWA,0,39,0
2, IOWA,2,147,2
