Roll Number, Payoff Condition, Trial Number, Total Reward, Repeat Choices
3, High Var,4,183.1178706,0
3, High Var,6,275.520374,0
3, High Var,8,343.9431859,0
3, High Var,10,438.4682009,1
3, High Var,12,542.4738759,3
3, High Var,14,636.9111808,5
3, High Var,16,736.9069665,7
3, High Var,18,831.2076813,9
3, High Var,0,54.1232328,0
3, High Var,2,128.0524639,0
3, High Var,4,234.2944524,2
3, High Var,6,335.0752454,4
3, High Var,8,417.5471102,5
3, High Var,10,532.6551379,6
3, High Var,12,650.0462512,8
3, High Var,14,741.6789133,10
3, High Var,16,853.9152757,11
3, High Var,18,960.986035,12
3, Low Var,0,27.79189461,0
3, Low Var,2,106.7779361,0
3, Low Var,4,208.8393443,2
3, Low Var,6,293.9585653,3
3, Low Var,8,369.820881,3
3, Low Var,10,471.9787912,3
3, Low Var,12,582.2916197,4
3, Low Var,14,687.3256962,5
3, Low Var,16,818.3766585,7
3, Low Var,18,899.7399257,8
3, IOWA,0,51.71880978,0
3, IOWA,2,108.9573991,0
3, IOWA,4,200.1968276,0
3, IOWA,6,319.3689018,1
3, IOWA,8,421.2668398,3
3, IOWA,10,519.7161231,5
3, IOWA,12,601.1887361,7
3, IOWA,14,679.6174678,7
3, IOWA,16,749.7859344,7
3, IOWA,18,849.2126551,9
3, Low Var,0,36.79600742,0
3, Low Var,2,124.9924067,0
3, Low Var,4,228.7045165,0
3, Low Var,6,322.4880572,1
3, Low Var,8,428.4707869,2
3, Low Var,10,516.8898417,4
3, Low Var,12,590.6057513,4
3, Low Var,14,661.2367853,4
3, Low Var,16,742.726277,4
3, Low Var,18,844.0921745,6
3, Low Var,0,71.03710384,0
3, Low Var,2,160.0104223,0
3, Low Var,4,236.0710275,0
3, Low Var,6,340.3383754,0
3, Low Var,8,452.1931982,0
3, Low Var,10,569.9672056,1
3, Low Var,12,663.9516594,3
3, Low Var,14,763.2854339,4
3, Low Var,16,874.3801777,4
3, Low Var,18,966.4043596,4
3, Equal Means,0,53.28023899,0
3, Equal Means,2,122.0904343,1
3, Equal Means,4,212.8169992,1
3, Equal Means,6,320.6739348,1
3, Equal Means,8,420.6957814,1
3, Equal Means,10,542.9415185,1
3, Equal Means,12,663.0185661,1
3, Equal Means,14,755.7015646,2
3, Equal Means,16,858.2669617,3
3, Equal Means,18,943.9272854,4
3, Equal Means,0,54.37584892,0
3, Equal Means,2,146.0881353,0
3, Equal Means,4,226.6319391,0
3, Equal Means,6,331.7942846,0
3, Equal Means,8,434.7451028,2
3, Equal Means,10,541.9252172,4
