Roll Number, Payoff Condition, Trial Count, Total Reward, Repeat Choices
3, High Var,0,37.48697812,0
3, High Var,2,121.7532693,0
3, High Var,4,186.6749373,2
3, High Var,6,229.3185678,2
3, High Var,8,299.7440224,2
3, High Var,10,388.2558305,4
3, High Var,12,445.1041795,5
3, High Var,14,490.8058034,6
3, High Var,16,558.5669246,7
3, High Var,18,653.6754191,8
3, High Var,20,720.7289028,10
3, Low Var,0,36.18314995,0
3, Low Var,2,80.26152686,1
3, Low Var,4,140.8248429,1
3, Low Var,6,218.3877755,2
3, Low Var,8,298.7321154,4
3, Low Var,10,367.2681483,4
3, Low Var,12,447.6849277,6
3, Low Var,14,517.6333371,6
3, Low Var,16,587.7117008,8
3, Low Var,18,659.1857418,8
3, Low Var,20,741.193188,10
3, High Var,0,7.281634719,0
3, High Var,2,77.89539936,0
3, High Var,4,135.184085,0
3, High Var,6,220.8407548,2
3, High Var,8,309.4920232,4
3, High Var,10,406.9559172,6
3, High Var,12,494.985141,8
3, High Var,14,565.5861051,10
3, High Var,16,632.1059138,10
3, High Var,18,677.3669031,10
3, High Var,20,730.4628592,11
3, High Var,0,20.93459141,0
3, High Var,2,59.72541743,0
3, High Var,4,143.7577966,0
3, High Var,6,207.5415952,0
3, High Var,8,291.749269,2
3, High Var,10,393.8804515,4
3, High Var,12,499.1713784,6
3, High Var,14,564.8274977,8
3, High Var,16,661.8425682,10
3, High Var,18,723.035712,11
3, High Var,20,789.5230617,12
3, IOWA,0,26.9610324,0
3, IOWA,2,55.06950379,1
3, IOWA,4,131.743002,2
3, IOWA,6,215.9476229,4
3, IOWA,8,296.6350171,6
3, IOWA,10,373.6986715,8
3, IOWA,12,453.6956437,10
3, IOWA,14,537.4104092,12
3, IOWA,16,614.56138,14
3, IOWA,18,698.6052944,16
3, IOWA,20,776.5731117,18
3, Low Var,0,30.35756943,0
3, Low Var,2,93.6719096,2
3, Low Var,4,146.6844116,2
3, Low Var,6,218.7111,3
3, Low Var,8,298.7178449,3
3, Low Var,10,383.5715036,5
3, Low Var,12,466.2388406,7
3, Low Var,14,546.5648508,9
3, Low Var,16,614.156504,9
3, Low Var,18,688.9490211,11
3, Low Var,20,763.8092835,11
3, Low Var,0,40.67054731,0
3, Low Var,2,124.5138848,2
3, Low Var,4,201.6061055,4
3, Low Var,6,283.0550171,6
3, Low Var,8,365.690921,8
4, IOWA,0,49.80595037,0
4, IOWA,2,168.6853003,0
4, IOWA,4,308.6306106,1
4, IOWA,6,416.9888583,1
4, IOWA,8,537.6395075,2
4, IOWA,10,645.2239898,2
4, IOWA,12,775.8319629,4
4, IOWA,14,910.6725133,6
4, IOWA,16,1018.142644,7
4, IOWA,18,1093.37316,7
4, IOWA,20,1207.944593,8
4, IOWA,0,44.19409737,0
4, IOWA,2,134.2541502,0
4, IOWA,4,232.7254632,1
4, IOWA,6,363.0530145,1
4, IOWA,8,481.921856,1
4, IOWA,10,566.7503183,1
4, IOWA,12,703.1256787,1
4, IOWA,14,838.1949997,1
4, IOWA,16,921.0437149,1
4, IOWA,18,1042.198753,1
4, IOWA,20,1171.746944,2
4, High Var,0,58.02441738,0
4, High Var,2,191.4433967,1
4, High Var,4,325.2604307,2
4, High Var,6,426.7899292,3
4, High Var,8,553.3766334,3
4, High Var,10,662.2283317,3
4, High Var,12,795.0441331,5
4, High Var,14,903.8841881,5
4, High Var,16,1028.910455,6
4, High Var,18,1144.920426,6
4, High Var,20,1276.440564,7
4, High Var,0,68.89048063,0
4, High Var,2,178.5171818,1
4, High Var,4,275.4766681,1
4, High Var,6,376.5947349,1
4, High Var,8,474.4856236,1
4, High Var,10,606.4026817,3
4, High Var,12,721.5554307,5
4, High Var,14,839.070599,6
4, High Var,16,961.6289501,6
4, High Var,18,1072.221489,6
4, High Var,20,1192.446399,6
4, Equal Means,0,55.06867832,0
4, Equal Means,2,182.844936,0
4, Equal Means,4,313.370317,0
4, Equal Means,6,411.6887008,0
4, Equal Means,8,518.2976558,0
4, Equal Means,10,621.674082,0
4, Equal Means,12,721.963374,0
4, Equal Means,14,842.2461515,0
4, Equal Means,16,952.6596586,0
4, Equal Means,18,1075.453816,1
4, Equal Means,20,1198.87865,3
4, Equal Means,0,65.86388602,0
4, Equal Means,2,175.532813,0
4, Equal Means,4,292.5621869,0
4, Equal Means,6,420.2314125,2
4, Equal Means,8,541.418269,4
4, Equal Means,10,652.2076535,4
4, Equal Means,12,764.791698,5
4, Equal Means,14,877.9447229,5
4, Equal Means,16,990.9898954,5
4, Equal Means,18,1101.586357,5
4, Equal Means,20,1202.807162,5
4, High Var,0,55.18447023,0
4, High Var,2,164.5992479,0
4, High Var,4,281.7379516,1
4, High Var,6,398.6263116,3
4, High Var,8,550.473914,5
4, High Var,10,688.8557601,7
4, High Var,12,820.9039425,9
4, High Var,14,939.007312,11
4, High Var,16,1025.790138,11
4, High Var,18,1152.431109,11
4, High Var,20,1269.172067,13
4, Low Var,0,54.6173966,0
4, Low Var,2,174.9616916,0
4, Low Var,4,292.6868409,0
4, Low Var,6,404.8475959,0
4, Low Var,8,543.4376427,2
4, Low Var,10,673.6383174,4
4, Low Var,12,803.7418547,6
4, Low Var,14,914.9430257,6
4, Low Var,16,1025.92145,6
4, Low Var,18,1158.840321,8
4, Low Var,20,1289.422348,10
4, IOWA,0,41.15375835,0
4, IOWA,2,166.8441847,1
4, IOWA,4,308.296532,3
4, IOWA,6,472.3596221,5
4, IOWA,8,579.6111224,7
4, IOWA,10,696.8571507,7
4, IOWA,12,829.5087464,9
4, IOWA,14,962.0534557,11
4, IOWA,16,1100.346464,13
4, IOWA,18,1230.997387,15
4, IOWA,20,1363.274218,17
4, Low Var,0,43.23548339,0
4, Low Var,2,162.456039,0
4, Low Var,4,296.2183918,2
4, Low Var,6,414.8149148,4
4, Low Var,8,546.0717638,6
4, Low Var,10,676.2008479,8
4, Low Var,12,806.9330192,10
4, Low Var,14,936.1637482,12
4, Low Var,16,1065.776164,14
4, Low Var,18,1197.885409,16
4, Low Var,20,1326.590221,18
4, Equal Means,0,57.99309028,0
4, Equal Means,2,154.4973171,1
4, Equal Means,4,265.5608953,1
4, Equal Means,6,378.5129771,2
4, Equal Means,8,493.2923429,4
4, Equal Means,10,594.5375168,5
4, Equal Means,12,715.2683817,6
4, Equal Means,14,829.8068403,6
4, Equal Means,16,935.4500667,7
4, Equal Means,18,1053.276027,8
4, Equal Means,20,1171.025115,10
4, Low Var,0,56.28909796,0
4, Low Var,2,166.8084042,2
4, Low Var,4,279.4523362,4
4, Low Var,6,414.4289684,5
4, Low Var,8,546.5549389,7
200550, IOWA,0,48.49245332,0
200550, IOWA,2,176.8878442,0
200550, IOWA,4,301.7060696,0
200550, IOWA,6,436.0779169,0
200550, IOWA,8,538.4682527,0
200550, IOWA,10,669.064733,0
200550, IOWA,12,822.8711535,0
200550, IOWA,14,978.5237005,2
200550, IOWA,16,1110.751827,4
200550, IOWA,18,1229.971676,6
200550, IOWA,20,1341.843115,6
200550, IOWA,0,61.56070065,0
200550, IOWA,2,166.030061,0
200550, IOWA,4,276.9334798,1
200550, IOWA,6,400.948633,1
200550, IOWA,8,531.8367482,1
200550, IOWA,10,639.8989207,1
200550, IOWA,12,765.042315,1
200550, IOWA,14,864.5253283,3
200550, IOWA,16,1005.35146,3
200550, IOWA,18,1144.984016,5
200550, IOWA,20,1283.8657,7
200550, High Var,0,58.17085556,0
200550, High Var,2,156.0444271,1
200550, High Var,4,308.0918481,2
200550, High Var,6,447.4795067,4
200550, High Var,8,577.5486335,6
200550, High Var,10,706.842192,7
200550, High Var,12,824.5270001,7
200550, High Var,14,945.3780459,7
200550, High Var,16,1060.597874,7
200550, High Var,18,1213.423358,8
200550, High Var,20,1345.525169,10
200550, IOWA,0,31.97427952,0
